0, 4.16
-6,4.16
-6, 1.8
-4.2, 1.8
-4.2, 0.7
-3.9, 0.55

-3.58,0

-3.8,-0.55
-4.2, -0.7
-4.2,-1.8
-6,-1.8
-6,-4.16

6, -4.16
6, -1.8
4.2, -1.8
4.2, -0.7
3.9, -0.55

3.58,0

3.8,0.55
4.2, 0.7
4.2,1.8
6,1.8
6,4.16

0, 4.16

0,-4.16


5.3, -4.16
5.5, -3.6
6, -3.6

6,-1.8
6, -0.9
5.3, -0.9

5.3,0.9
6,0.9
6, 1.8

6,3.6
5.7,3.7
5.5,4.16

-5.3, 4.16
-5.5, 3.6
-6, 3.6

-6,1.8
-6, 0.9
-5.3, 0.9

-5.3,-0.9
-6,-0.9
-6, -1.8

-6,-3.6
-5.7,-3.7
-5.5,-4.16

0,-4.16

0, -1
0.5, -0.86
0.89, -0.46
1,0
0.89,0.46
0.5,0.86
0,1
-0.5,0.86
-0.89,0.46
-1,0
-0.89,-0.46
-0.5, -0.86
0, -1
