0, -4.5
-6,-4.5
-6,-2.02
-4.35,-2.02
-4.35,-0.73




-3.99,0



-4.35, 0.73
-4.35, 2.02
-6,2.02
-6,-0.92
-5.45,-0.92
-5.45,0.92
-6,0.92
-6, 2.02
-4.35,2.02
-4.35,-2.02
-6,-2.02
-6,4.5

6,4.5

6, 2.02
4.35,2.02
4.35, 0.73
3.99, 0
4.35, -0.73
4.35, -2.02
6, -2.02
6, 2.02
4.35,2.02
4.35,-2.02
6,-2.02
6,0.92
5.45, 0.92
5.45, -0.92
6, -0.92
6,-4.5

0,-4.5


0, -1
0.5, -0.86
0.89, -0.46
1,0
0.89,0.46
0.5,0.86
0,1
-0.5,0.86
-0.89,0.46
-1,0
-0.89,-0.46
-0.5, -0.86
0, -1
0,4.5

5.9,4.5
6,4.4
6,-4.4
5.9,-4.5
-5.9,-4.5
-6,-4.4
-6,4.4
-5.9,4.5
