0, -45
-60,-45
-60,-20.2
-43.5,-20.2
-43.5,-7.3

-42.05,-5.95
-40.75,-4
-40.07,-1.98



-39.9,0


-40.07, 1.98
-40.75,4
-42.05, 5.59


-43.5, 7.3
-43.5,20.2
-60,20.2
-60,-9.2
-54.5,-9.2
-54.5,9.2
-60,9.2
-60, 20.2
-43.5,20.2
-43.5,-20.2
-60,-20.2
-60,45

60,45

60, 20.2
43.5,20.2
43.5, 7.3


42.05,5.95
40.75,4
40.07,1.98


39.9, 0


40.07, -1.98
40.75,-4
42.05, -5.59



43.5, -7.3
43.5, -20.2
60, -20.2
60, 20.2
43.5,20.2
43.5,-20.2
60,-20.2
60,9.2
54.5, 9.2
54.5, -9.2
60, -9.2
60,-45

0,-45


0.-9.15
4.89,-7.74
8.55, -3.27
9.15, 0
8.63, 3.05
5.07, 7.62
0, 9.15
-5.03, 7.64
-8.59,4.14
-9.15,0
-8.57,-3.19
-4.98,-7.68
0,-9.15



0,45

59,45
60,44
60,-44
59,-45
-59,-45
-60,-44
-60,44
-59,45
