2,0
1.99, -0.21
1.96, -0.4
1.91, -0.6
1.84, -0.79
1.73, -1
1.6,-1.2
1.42,-1.41
1.2,-1.6
0.88,-1.8
0.61,-1.91
0.32,-1.97
0, -2

-0.32,-1.97
-0.61,-1.91
-0.88,-1.8
-1.2,-1.6
-1.42,-1.41
-1.6,-1.2
-1.73, -1
-1.84, -0.79
-1.91, -0.6
-1.96, -0.4
-1.99, -0.21
-2,0


-1.99, 0.21
-1.96, 0.4
-1.91, 0.6
-1.84, 0.79
-1.73, 1
-1.6,1.2
-1.42,1.41
-1.2,1.6
-0.88,1.8
-0.61,1.91
-0.32,1.97
0, 2

0.32,1.97
0.61,1.91
0.88,1.8
1.2,1.6
1.42,1.41
1.6,1.2
1.73, 1
1.84, 0.79
1.91, 0.6
1.96, 0.4
1.99, 0.21
2,0
